Date,USDBRL
24/05/2012,"2,0277"
25/05/2012,"1,9823"
27/05/2012,"1,9823"
28/05/2012,"1,9819"
29/05/2012,"1,9921"
30/05/2012,"2,0155"
31/05/2012,"2,0241"
01/06/2012,"2,0382"
02/06/2012,"2,0382"
03/06/2012,"2,0379"
04/06/2012,"2,0507"
05/06/2012,"2,029"
06/06/2012,"2,0328"
07/06/2012,"2,0336"
08/06/2012,"2,0221"
09/06/2012,"2,003"
10/06/2012,"2,0031"
11/06/2012,"2,0633"
12/06/2012,"2,0679"
13/06/2012,"2,0685"
14/06/2012,"2,0573"
15/06/2012,"2,0485"
16/06/2012,"2,0432"
17/06/2012,"2,0432"
18/06/2012,"2,061"
19/06/2012,"2,0277"
20/06/2012,"2,0255"
21/06/2012,"2,0623"
22/06/2012,"2,0655"
23/06/2012,"2,0654"
24/06/2012,"2,0651"
25/06/2012,"2,0605"
26/06/2012,"2,0745"
27/06/2012,"2,0739"
28/06/2012,"2,0768"
29/06/2012,"2,0065"
30/06/2012,"2,0065"
01/07/2012,"2,0096"
02/07/2012,"1,9831"
03/07/2012,"2,0085"
04/07/2012,"2,0265"
05/07/2012,"2,0183"
